:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
33,16858,53,66,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.748577,POINT (-73.9522 40.748577),,,,,-73.9522,0,0,0,0,0,0,0,0,45 AVENUE,VERNON BOULEVARD                ,8:30,3760103,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
29,11272,48,33,5,BRONX,Unspecified,Unspecified,,,,2865      KINGSBRIDGE TERRACE           ,2017-09-30T00:00:00.000,40.874493,POINT (-73.90257 40.874493),,,,,-73.90257,0,0,0,0,0,0,0,0,,,13:00,3760411,SPORT UTILITY / STATION WAGON,,,,,10463
48,17619,68,55,2,,Unsafe Lane Changing,Unspecified,,,,,2017-09-30T00:00:00.000,40.68584,POINT (-73.97328 40.68584),,,,,-73.97328,0,0,0,0,0,0,0,0,,FULTON STREET                   ,1:09,3760254,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
5,14784,66,68,3,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.737656,POINT (-73.88207 40.737656),,,,,-73.88207,0,0,0,0,0,0,0,0,,QUEENS BOULEVARD                ,10:00,3761088,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
16,14197,26,69,3,,Other Vehicular,Driver Inattention/Distraction,,,,,2017-09-30T00:00:00.000,40.75426,POINT (-73.74334 40.75426),,,,,-73.74334,0,0,0,0,0,0,0,0,,,14:50,3760494,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
29,11272,48,33,5,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.877068,POINT (-73.906105 40.877068),,,,,-73.906105,0,0,1,0,0,0,1,0,BROADWAY,WEST 230 STREET                 ,16:05,3760409,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
39,13092,47,22,4,MANHATTAN,Unspecified,Unspecified,,,,588       WEST 207 STREET               ,2017-09-30T00:00:00.000,40.86705,POINT (-73.920815 40.86705),,,,,-73.920815,0,0,0,0,0,0,0,0,,,18:27,3761933,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,10034
,,,,,QUEENS,Driver Inattention/Distraction,Brakes Defective,,,,1         FOREST PARK DRIVE             ,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,,,19:02,3761273,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11385
44,17616,1,37,2,BROOKLYN,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.605213,POINT (-74.012375 40.605213),,,,,-74.012375,0,0,1,0,0,0,1,0,16 AVENUE,CROPSEY AVENUE                  ,15:15,3760923,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11228
21,14511,65,73,3,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,,2017-09-30T00:00:00.000,40.757774,POINT (-73.86268 40.757774),,,,,-73.86268,0,0,0,0,1,0,1,0,,NORTHERN BOULEVARD              ,15:30,3760699,SPORT UTILITY / STATION WAGON,,,,,
